distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,temp_dif,fuel_used,trip_cost
19.0,4.4,58,22.5,17,SP98,0,0,1,5.5,0.8360000000000001,1.57168
29.0,4.0,27,22.5,12,SP98,0,0,0,10.5,1.16,2.1807999999999996
12.1,5.0,32,22.5,9,SP98,0,0,0,13.5,0.605,1.1374
12.3,5.2,55,22.5,10,SP98,0,0,0,12.5,0.6396000000000001,1.202448
24.8,4.0,56,22.5,11,SP98,0,0,0,11.5,0.9920000000000001,1.8649600000000002
12.9,5.1,34,22.5,8,SP98,0,1,0,14.5,0.6578999999999999,1.2368519999999998
11.8,4.5,39,22.5,3,SP98,0,0,0,19.5,0.531,0.99828
31.4,4.6,62,22.5,11,SP98,0,0,0,11.5,1.4444,2.7154719999999997
19.0,5.1,53,22.5,4,SP98,0,1,0,18.5,0.969,1.8217199999999998
13.0,5.7,38,22.5,3,SP98,1,1,0,19.5,0.741,1.3930799999999999
11.8,4.8,42,22.5,2,SP98,0,0,0,20.5,0.5664,1.064832
13.0,6.2,32,22.5,4,SP98,0,0,0,18.5,0.806,1.51528
11.8,5.0,43,22.5,1,SP98,0,0,0,21.5,0.5900000000000001,1.1092000000000002
27.1,5.0,69,22.5,8,SP98,0,0,0,14.5,1.3550000000000002,2.5474
5.2,4.6,38,22.5,8,SP98,0,0,0,14.5,0.2392,0.449696
19.0,4.5,29,22.5,10,E10,0,0,0,12.5,0.855,1.4962499999999999
12.4,4.8,38,22.5,1,E10,0,0,0,21.5,0.5952000000000001,1.0416
25.2,5.0,55,22.5,9,E10,0,0,0,13.5,1.26,2.205
14.3,4.8,36,22.5,10,E10,0,0,0,12.5,0.6864,1.2012
11.8,4.6,40,22.5,2,E10,0,0,0,20.5,0.5428000000000001,0.9499000000000001
16.9,4.5,48,22.5,9,E10,0,0,1,13.5,0.7605,1.3308749999999998
12.4,4.6,55,22.5,11,E10,0,0,1,11.5,0.5704,0.9982
17.4,4.4,36,22.5,12,E10,0,0,1,10.5,0.7656000000000001,1.3398
9.2,5.7,33,22.5,8,E10,0,1,0,14.5,0.5244,0.9177
12.3,5.8,54,22.5,10,E10,0,1,0,12.5,0.7134,1.24845
13.0,5.9,32,22.5,10,E10,0,0,0,12.5,0.767,1.34225
11.8,6.1,16,22.5,6,E10,0,1,0,16.5,0.7198,1.25965
13.0,5.7,37,22.5,11,E10,0,1,0,11.5,0.741,1.29675
12.3,5.0,42,22.5,10,E10,0,0,0,12.5,0.6150000000000001,1.0762500000000002
12.3,5.2,57,22.5,15,E10,0,0,1,7.5,0.6396000000000001,1.1193000000000002
12.5,4.3,57,22.5,16,E10,0,0,1,6.5,0.5375,0.9406249999999999
31.5,4.1,30,22.5,16,E10,0,0,1,6.5,1.2914999999999999,2.260125
11.8,4.4,42,22.5,8,E10,0,0,0,14.5,0.5192000000000001,0.9086000000000002
24.9,4.5,53,22.5,14,E10,0,0,0,8.5,1.1204999999999998,1.9608749999999997
17.0,3.9,46,22.5,14,E10,0,0,1,8.5,0.663,1.16025
2.0,8.1,20,22.5,14,E10,0,0,0,8.5,0.162,0.28350000000000003
11.8,4.4,33,22.5,8,E10,0,0,0,14.5,0.5192000000000001,0.9086000000000002
7.4,5.0,31,22.5,12,E10,0,0,0,10.5,0.37000000000000005,0.6475000000000001
12.4,4.7,55,22.5,14,E10,0,0,1,8.5,0.5828,1.0199
2.0,6.0,22,22.5,14,E10,0,0,0,8.5,0.12,0.21
14.0,5.0,41,22.5,8,E10,0,0,0,14.5,0.7000000000000001,1.225
25.7,5.0,45,22.5,7,E10,0,0,0,15.5,1.2850000000000001,2.2487500000000002
24.5,3.9,50,21.929521276595743,15,E10,0,0,1,6.929521276595743,0.9555,1.672125
11.8,4.5,28,22.5,12,E10,0,0,0,10.5,0.531,0.92925
4.1,5.4,24,22.5,13,E10,0,0,0,9.5,0.2214,0.38745
4.2,5.6,29,22.0,17,E10,0,0,0,5.0,0.2352,0.41159999999999997
4.2,3.9,29,22.0,18,E10,0,0,1,4.0,0.1638,0.28665
16.0,4.0,40,22.0,10,E10,0,0,0,12.0,0.64,1.12
22.9,4.0,29,21.929521276595743,21,E10,0,0,0,0.929521276595743,0.9159999999999999,1.6029999999999998
16.0,3.8,42,21.929521276595743,8,E10,0,0,0,13.929521276595743,0.608,1.064
